Provincias;Españoles/Extranjeros;Sexo;Edad (grupos quinquenales);Año;Total
43  Tarragona;TOTAL;Ambos sexos;70-74 años;2019;37.366
43  Tarragona;TOTAL;Ambos sexos;75-79 años;2019;26.403
43  Tarragona;TOTAL;Ambos sexos;80-84 años;2019;21.632
43  Tarragona;TOTAL;Ambos sexos;85-89 años;2019;15.778
43  Tarragona;TOTAL;Ambos sexos;90-94 años;2019;6.976
43  Tarragona;TOTAL;Ambos sexos;95-99 años;2019;1.749
43  Tarragona;TOTAL;Ambos sexos;100 años y más;2019;237
44  Teruel;TOTAL;Ambos sexos;70-74 años;2019;6.477
44  Teruel;TOTAL;Ambos sexos;75-79 años;2019;5.130
44  Teruel;TOTAL;Ambos sexos;80-84 años;2019;5.540
44  Teruel;TOTAL;Ambos sexos;85-89 años;2019;4.953
44  Teruel;TOTAL;Ambos sexos;90-94 años;2019;2.279
44  Teruel;TOTAL;Ambos sexos;95-99 años;2019;581
44  Teruel;TOTAL;Ambos sexos;100 años y más;2019;84
45  Toledo;TOTAL;Ambos sexos;70-74 años;2019;27.796
45  Toledo;TOTAL;Ambos sexos;75-79 años;2019;21.356
45  Toledo;TOTAL;Ambos sexos;80-84 años;2019;19.599
45  Toledo;TOTAL;Ambos sexos;85-89 años;2019;15.369
45  Toledo;TOTAL;Ambos sexos;90-94 años;2019;6.953
45  Toledo;TOTAL;Ambos sexos;95-99 años;2019;1.689
45  Toledo;TOTAL;Ambos sexos;100 años y más;2019;232
46  Valencia/València;TOTAL;Ambos sexos;70-74 años;2019;117.854
46  Valencia/València;TOTAL;Ambos sexos;75-79 años;2019;90.297
46  Valencia/València;TOTAL;Ambos sexos;80-84 años;2019;72.392
46  Valencia/València;TOTAL;Ambos sexos;85-89 años;2019;48.545
46  Valencia/València;TOTAL;Ambos sexos;90-94 años;2019;19.482
46  Valencia/València;TOTAL;Ambos sexos;95-99 años;2019;4.418
46  Valencia/València;TOTAL;Ambos sexos;100 años y más;2019;630
47  Valladolid;TOTAL;Ambos sexos;70-74 años;2019;28.874
47  Valladolid;TOTAL;Ambos sexos;75-79 años;2019;21.829
47  Valladolid;TOTAL;Ambos sexos;80-84 años;2019;16.971
47  Valladolid;TOTAL;Ambos sexos;85-89 años;2019;12.516
47  Valladolid;TOTAL;Ambos sexos;90-94 años;2019;5.918
47  Valladolid;TOTAL;Ambos sexos;95-99 años;2019;1.617
47  Valladolid;TOTAL;Ambos sexos;100 años y más;2019;211
49  Zamora;TOTAL;Ambos sexos;70-74 años;2019;10.664
49  Zamora;TOTAL;Ambos sexos;75-79 años;2019;9.438
49  Zamora;TOTAL;Ambos sexos;80-84 años;2019;9.394
49  Zamora;TOTAL;Ambos sexos;85-89 años;2019;7.631
49  Zamora;TOTAL;Ambos sexos;90-94 años;2019;3.736
49  Zamora;TOTAL;Ambos sexos;95-99 años;2019;989
49  Zamora;TOTAL;Ambos sexos;100 años y más;2019;140
50  Zaragoza;TOTAL;Ambos sexos;70-74 años;2019;47.502
50  Zaragoza;TOTAL;Ambos sexos;75-79 años;2019;36.497
50  Zaragoza;TOTAL;Ambos sexos;80-84 años;2019;30.543
50  Zaragoza;TOTAL;Ambos sexos;85-89 años;2019;24.186
50  Zaragoza;TOTAL;Ambos sexos;90-94 años;2019;10.547
50  Zaragoza;TOTAL;Ambos sexos;95-99 años;2019;2.854
50  Zaragoza;TOTAL;Ambos sexos;100 años y más;2019;366
51  Ceuta;TOTAL;Ambos sexos;70-74 años;2019;2.411
51  Ceuta;TOTAL;Ambos sexos;75-79 años;2019;1.875
51  Ceuta;TOTAL;Ambos sexos;80-84 años;2019;1.373
51  Ceuta;TOTAL;Ambos sexos;85-89 años;2019;819
51  Ceuta;TOTAL;Ambos sexos;90-94 años;2019;288
51  Ceuta;TOTAL;Ambos sexos;95-99 años;2019;73
51  Ceuta;TOTAL;Ambos sexos;100 años y más;2019;17
52  Melilla;TOTAL;Ambos sexos;70-74 años;2019;2.025
52  Melilla;TOTAL;Ambos sexos;75-79 años;2019;1.607
52  Melilla;TOTAL;Ambos sexos;80-84 años;2019;1.247
52  Melilla;TOTAL;Ambos sexos;85-89 años;2019;710
52  Melilla;TOTAL;Ambos sexos;90-94 años;2019;302
52  Melilla;TOTAL;Ambos sexos;95-99 años;2019;64
52  Melilla;TOTAL;Ambos sexos;100 años y más;2019;11
